,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
1329,"THE CHURCH OF CHRIST IN CHINA, HONG KONG CHI TO CHURCH KEI POK KINDERGARTEN (TSEUNG KWAN O)",中華基督教會香港志道堂基博幼稚園(將軍澳),SCH,KDG,844782,819333,G/F KWONG YING HOUSE KWONG MING COURT TSEUNG KWAN O NEW TERRITORIES,新界將軍澳廣明苑廣盈閣地下,GeoCom
1330,"THE CHURCH OF CHRIST IN CHINA, HONG KONG CHI TO CHURCH KEI POK KINDERGARTEN (TSEUNG KWAN O)",中華基督教會香港志道堂基博幼稚園(將軍澳),SCH,KDG,844782,819333,G/F KWONG YING HOUSE KWONG MING COURT TSEUNG KWAN O NEW TERRITORIES,新界將軍澳廣明苑廣盈閣地下,GeoCom
1331,LEAH,LEAH,AMD,GHS,835823,817598,"Flat B4, 11/F, Block B, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號美麗都大廈B座11字樓B4室,GeoCom
1332,THE GREEN HOUSE,THE GREEN HOUSE,AMD,GHS,835747,817635,"Flat B1, 5/F, Block B, Tsim Sha Tsui Mansion, 87 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道87號華源大廈B座5字樓B1室,GeoCom
1333,悠然小居(精緻渡假屋),悠然小居(精緻渡假屋),AMD,GHS,820904,807423,"G/F, 4A, Chung Sum Lane, Cheung Chau.",長洲中心里4A號地下,GeoCom
1334,FU KEE HORIZON RESORT,富記度假村,AMD,GHS,821049,808073,"Flat B, 1/F, Block 16, Bela Vista Villa, DD CC 1491, Cheung Chau.",長洲長洲地段第1491號 東堤小築16座1字樓B室,GeoCom
1338,ITALIAN INTERNATIONAL KINDERGARTEN,意大利國際幼稚園,SCH,KDG,833279,811817,"PODIUM LEVEL 1, BLOCK 4, PHASE 1, SOUTH HORIZONS, AP LEI CHAU, HONG KONG",香港鴨脷洲海怡半島第1期第4座平台第1層,GeoCom
1339,CLEMENT KINDERGARTEN,啟文幼稚園,SCH,KDG,834674,820639,"SHOP NOS. G65-70, GROUND FLOOR, METRO HARBOUR PLAZA, TAI KOK TSUI, KOWLOON",九龍大角咀港灣豪庭廣場地下G65—70號舖,GeoCom
1340,LEARNING HABITAT KINDERGARTEN (THE SPARKLE),學之園幼稚園(星匯居),SCH,KDG,833741,821553,"1/F., COMMERCIAL DEVELOPMENT, THE SPARKLE, 500 TUNG CHAU STREET, CHEUNG SHA WAN, KOWLOON",九龍長沙灣通州街500號星匯居商業發展項目1樓,GeoCom
1341,YMCA OF HONG KONG CHRISTIAN INTERNATIONAL KINDERGARTEN (WEST KOWLOON),港青基信國際幼稚園(西九龍),SCH,KDG,834072,822332,"PORTION OF L/G, YMCA OF HONG KONG BEACON CENTRE-LIFELONG LEARNING INSTITUTE, 373 PO ON ROAD, KOWLOON",九龍保安道373號港青西九龍耀信發展學習中心低層部份,GeoCom
1342,THINK INTERNATIONAL KINDERGARTEN (NAM CHEONG),朗思國際幼稚園(南昌),SCH,KDG,833757,821021,"SHOP G26, G/F., V WALK, 28 SHAM MONG ROAD, SHAMSHUIPO, KOWLOON",九龍深水埗深旺道28號V WALK地下G26室,GeoCom
1343,JOYFUL WORLD INTERNATIONAL KINDERGARTEN (TUEN MUN),心怡天地國際幼稚園(屯門),SCH,KDG,815165,828877,"SHOP 2 - 3 ON 2ND FLOOR OF COMMERCIAL COMPLEX, TAI HING GARDENS PHASE II, 10A HO HING CIRCUIT, TUEN MUN, NEW TERRITORIES",新界屯門河興街10A號大興花園第二期商場2樓2—3號舖,GeoCom
1354,STAR WAY HOTEL,星途,AMD,GHS,836929,815869,"Flat B, 2/F, Hoi To Court, 275 Gloucester Road, Causeway Bay, Hong Kong.",香港銅鑼灣告士打道275號 海都大廈2字樓B室,GeoCom
1356,ZI XIN,紫馨賓館,AMD,GHS,835746,817676,"Flat 11, 8/F, Hai Phong Mansion, 101 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道101號 海防大廈8字樓11室,GeoCom
1357,HOTEL ALEXANDRA,歷山酒店,AMD,HTL,837935,816755,"Portion of B4/F, B3/F, B2/F, B1/F&G/F;1-3/F,5-6/F, Portion of 7-12/F,15-23/F,25-33/F,35-39/F,R/F&TR/F ,West Wing; 1-3/F, 5-6/F, 7/F(Portion), East Wing","香港北角城市花園道32號4字樓地庫,3字樓地庫,2字樓地庫",GeoCom
1359,NORWEGIAN INTERNATIONAL SCHOOL,NORWEGIAN INTERNATIONAL SCHOOL,SCH,PRS,834311,834285,TAI PO BUNGALOW KWONG FUK ROAD & 170 KAM SHAN ROAD TAI PO NEW TERRITORIES,新界大埔廣福道大埔平房及錦山路１７０號,GeoCom
1367,Tuen Mun District Women's Association Wu King Estate Mutual Help Child Care Centre,屯門區婦女會湖景邨互助幼兒中心,SCH,CCC,814532,826405,"Unit 21-22, G/F, Wu Tsui House, Wu King Estate, Tuen Mun, New Territories",新界屯門湖景邨湖翠樓地下21至22室,GeoCom
1371,Hong Kong Council of the Church of Christ in China Tuen Mun Special Child Care Centre (The),中華基督教會香港區會屯門特殊幼兒中心,SCH,CCC,815715,828954,"3/F, 29 Tseng Choi Street, Tuen Mun, N.T.",新界屯門井財街29號3樓,GeoCom
1372,Heep Hong Society Lei Yue Mun Centre,協康會鯉魚門中心,SCH,CCC,842710,817269,"Unit No.1, Podium Floor, Lei Wong House, Lei Yue Mun Estate, Kwun Tong, Kowloon",九龍觀塘鯉魚門邨鯉旺樓平台1號,GeoCom
1486,Sha Tin Methodist Church,循道衛理聯合教會沙田堂,REM,CHU,837380.772,825903.509,"Sha Tin Methodist College (Ample Campus) , Sha Tin, NT",新界沙田沙田循道衛理中學(豐盛校園),GeoCom
1497,AS 1 HOSTEL,AS 1 HOSTEL,AMD,GHS,835797,817740,"Flat A, 13/F, Majestic House, 80 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道80號 金鑾大廈13字樓A室,GeoCom
1498,MOUNT KELLY SCHOOL HONG KONG,香港凱莉山學校,SCH,PRS,836092,818237,"UNITS 228-231, SECOND FLOOR, & UNITS 301 AND 302, THIRD FLOOR, AUSTIN TOWER (PHASE II), 152 AUSTIN ROAD, TSIM SHA TSUI, KOWLOON",九龍柯士甸道152號好兆年行(2期)2樓228-231室 及3樓301及302室,GeoCom
1499,THE INDEPENDENT SCHOOLS FOUNDATION PRE-SCHOOL,弘立幼稚園,SCH,KDG,831293,816017,"SHOP G01 ON G/F., SHOP 101 ON 1/F. OF 97 BELCHER'S STREET, KENNEDY TOWN, HONG KONG",香港堅尼地城卑路乍街97號地下G01號舖及1樓101號舖,GeoCom
1500,Tung Wah College - Kwai Hing Campus,東華學院 - 葵興校園,SCH,TEI,831725,824768,"Level 16, Tower B, Kowloon Commerce Centre, No. 51 Kwai Cheong Road, Kwai Chung, New Territories",新界葵涌葵昌路51號九龍貿易中心第二座16樓,GeoCom
1501,Hong Kong Institute of Technology,香港科技專上書院,SCH,TEI,838355,822408,"Shop 108&109, 1/F., Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin, Kowloon",九龍黃大仙睦鄰街8號現祟山商場1樓108及109號鋪,GeoCom
1503,Caritas Bianchi College of Careers,明愛白英奇專業學校,SCH,TEI,843855,818240,"18 Chui Ling Road, Tseung Kwan O, New Territories",新界將軍澳調景嶺翠嶺路18號,GeoCom
1506,Hong Chi Association Hong Chi Pinehill Pre-school Centre,匡智會匡智松嶺學前兒童中心,SCH,CCC,835784,835914,"Pinehill Village, Chung Nga Road, Nam Hang, Tai Po, N.T.",新界大埔南坑頌雅路松嶺村,GeoCom
1509,SAHK On Tai Preschool Centre,香港耀能協會安泰幼兒中心,SCH,CCC,841863,820727,"1/F, On Tai Estate Ancillary Facilities Block, 23 On Sau Road, Kwun Tong, Kowloon",九龍觀塘安秀道23號安泰服務設施大樓1樓,GeoCom
1510,The Hong Kong Society for the Deaf Kowloon Centre,香港聾人福利促進會九龍中心,SCH,CCC,836578,819228,"Room 513-516, Kar Man House, Oi Man Estate, Ho Man Tin, Kowloon",九龍何文田愛民邨嘉民樓513-516室,GeoCom
